uuid,rdf:type,add:LandmarkType,rdfs:label,dcterms:identifier,geofla:numInsee,wikidata:P8422,hasBeginning,hasEnd,Parent,Relation
fc109bfa-345c-4ee6-83a0-b2f084d4230b,Landmark,Departement,Seine,,75,,1795,1967,,
5ec66ee4-1bb2-456b-bafc-02bf3c88e770,Landmark,Departement,Val-de-Marne,,94,,1967,,,
a46424cb-2601-46db-a159-8545c4607ab2,Landmark,Arrondisement,Sceaux,,,,1800,1967,Seine,Within
0b23b428-909d-42c0-bd76-dad84d061cb4,Landmark,Canton,Villejuif,,,,1800,1967,Sceaux,Within
45f1621b-f88e-4800-9bba-55d8dd1087f4,Landmark,Commune,Gentilly,,94037,15323,1789,,Villejuif,Within
648b7831-50ab-43ac-9396-12529056dc4f,Landmark,Commune,Paris,,75056,26207,1789,,Seine,Within
8177082a-ed8d-417b-a60f-3e929cd1e97a,Landmark,Commune,Créteil,,94028,11051,1789,,Val-de-Marne,Within
3ea38f40-82cf-48f9-8ded-53d3c5e92125,Landmark,Section,Section A de la Santé,A,,,1811,1847,Gentilly,Within
87d7c2f6-306b-45a1-a833-5e17821c3102,Landmark,Section,Section B du Petit Gentilly,B,,,1811,1847,Gentilly,Within
56897a8f-3fb1-4ff8-8992-883214285f10,Landmark,Section,Section C de la Maison Blanche,C,,,1811,1847,Gentilly,Within
72d1afeb-b46b-466f-a4cb-96753897f5ce,Landmark,Section,Section D de Bicêtre,D,,,1811,1847,Gentilly,Within
d3299a59-4982-4f6f-bf1d-a2f692c219c4,Landmark,Section,Section E de Gentilly,E,,,1811,1847,Gentilly,Within
21dace9f-5178-4cc4-9588-b3a3e4283272,Landmark,Section,Section A dite de la Santé,A,,,1845,,Gentilly,Within
8aeca660-ee93-4fef-b98a-026735807d82,Landmark,Section,Section C dite de la Glacière,C,,,1845,,Gentilly,Within
da6a5c2c-e86d-43bb-8950-7169bd0df60a,Landmark,Section,Section D dite de la Barrière de Fontainebleau,D,,,1845,,Gentilly,Within
dc71e0dd-c531-4556-b433-4c79769c088b,Landmark,Section,Section E dite du Bel Air,E,,,1845,,Gentilly,Within
5fec0a47-aa74-4e02-aa66-77f156ea5327,Landmark,Section,Section F dite des Maisons,F,,,1845,,Gentilly,Within
aea3f2d9-4bc0-4176-ba88-a115a4ed76cc,Landmark,Section,Section G des Sablons,G,,,1845,,Gentilly,Within
23f82e12-bcad-49b8-bb09-6a538496b72f,Landmark,Section,Section H des Petits Jardins,H,,,1845,,Gentilly,Within
13b823a3-a9fe-40d1-b121-b6930d7b2c03,Landmark,Section,Section I de Bicêtre,I,,,1845,,Gentilly,Within
3904c8d6-366e-4d92-a960-3d9ea46d4912,Landmark,Section,Section K du Fort,K,,,1845,,Gentilly,Within
393aa8b1-e60f-43b7-9c9e-9737ad804edd,Landmark,Section,Section L des Martinets,L,,,1845,,Gentilly,Within
0dbf586a-7f6b-4cc1-a873-522a1bd44265,Landmark,Section,Section M du Moulin de la Roche,M,,,1845,,Gentilly,Within
49e2cb25-9f61-4740-a09c-c307e1f3874f,Landmark,Section,Section N du Chaperon Vert,N,,,1845,,Gentilly,Within
5d0cd9fe-6b99-416d-a1a3-d532d2d6d6fc,Landmark,Section,Section O des Hautes Bornes,O,,,1845,,Gentilly,Within
2f202433-cded-4857-a609-a1e0c548cb27,Landmark,Section,Section P du Bourg,P,,,1845,,Gentilly,Within
af64c1e7-5780-4937-a35e-f18cabfafec6,Landmark,Section,Section Q de la Rue Frileuse,Q,,,1845,,Gentilly,Within
ae9d96bb-1170-4522-998d-b66c7d8c3775,Landmark,Section,Section R du Bas du Bourg,R,,,1845,,Gentilly,Within
2dae5e93-2c68-41c0-b736-e8b290b778c0,Landmark,Thoroughfare,Rue des Archives,,,,,,Gentilly,Within
9a31660f-44c6-47dd-8cf4-17b08110f525,Landmark,HouseNumber,10 Rue des Archives,10,,,,,Rue des Archives,Along
54db0315-d4bf-4505-a5c1-cba6ef681c8c,Landmark,Structure,Archives Départementales du Val-de-Marne,AD94,,,,,10,IsPartOf
