skos:Concept,skos:inScheme,skos:broader,skos:closeMatch,skos:prefLabel@fr,skos:altLabel@fr,skos:hiddenLabel,skos:prefLabel@en,skos:altLabel@en,skos:definition
Abreuvoir,NatureList,ProprieteNonBatie,,Abreuvoir,,,,,
Atelier,NatureList,ProprieteBatie,,Atelier,,,,,
Batiment,NatureList,ProprieteBatie,,Bâtiment,,"Bat,Bt",,,
Bois,NatureList,ProprieteNonBatie,,Bois,,,,,
BoisAgrement,NatureList,"Bois,ObjetDAgrement",Bois,Bois d'agrément,,,,,
Canal,NatureList,ProprieteNonBatie,,Canal,,,,,
CanalAgrement,NatureList,"Canal,ObjetDAgrement",Canal,Canal d'agrément,,,,,
Chemin,NatureList,ProprieteNonBatie,,Chemin,,,,,
Cimetiere,NatureList,ProprieteNonBatie,,Cimetiere,,,,,
Clos,NatureList,ProprieteNonBatie,,Clos,,,,,
Cour,NatureList,ProprieteBatie,,Cour,,,,,
CourCommune,NatureList,Cour,,Cour commune,,,,,
Cuisine,NatureList,ProprieteBatie,,Cuisine,,,,,
Ecurie,NatureList,ProprieteBatie,,Ecurie,,,,,
Eglise,NatureList,ProprieteBatie,,Eglise,,,,,
Etang,NatureList,ProprieteNonBatie,,Etang,,,,,
EtangEmpoissonne,NatureList,Etang,,Etang empoissonné,,,,,
Fournil,NatureList,ProprieteBatie,,Fournil,,,,,
Hangar,NatureList,ProprieteBatie,Batiment,Hangar,,Hang,,,
Jardin,NatureList,ProprieteNonBatie,,Jardin,,J,Garden,,
Lavoir,NatureList,ProprieteBatie,,Lavoir,,,,,
Maison,NatureList,ProprieteBatie,,Maison,,"Mais,Mon",House,,
Mare,NatureList,ProprieteNonBatie,,Mare,,,,,
Neant,NatureList,,,Néant,,,,,
Parterre,NatureList,ProprieteNonBatie,,Parterre,,,,,
Passage,NatureList,ProprieteNonBatie,,Passage,,,,,
Pature,NatureList,ProprieteNonBatie,,Pâture,,,,,
PieceDEau,NatureList,ProprieteNonBatie,,Pièce d'eau,,,,,
PieceDEauAgrement,NatureList,"ProprieteNonBatie,ObjetDAgrement",PieceDEau,Pièce d'eau d'agrément,,,,,
Plantation,NatureList,ProprieteNonBatie,,Plantation,,,,,
Potager,NatureList,ProprieteNonBatie,,Potager,,,,,
Pre,NatureList,ProprieteNonBatie,,Pre,,,,,
ProprieteBatie,NatureList,,,Propriété bâtie,,,,,
ProprieteNonBatie,NatureList,,,Propriété non bâtie,,,,,
Saulaie,NatureList,ProprieteNonBatie,,Saulaie,,,,,
Sol,NatureList,ProprieteNonBatie,ProprieteBatie,Sol,,Terre de maison,,,
Terrain,NatureList,ProprieteNonBatie,,Terrain,,,,,
TerrainPlante,NatureList,ProprieteNonBatie,,Terrain planté,,Tp,,,
Terre,NatureList,ProprieteNonBatie,,Terre,,T,Bare ground,,
TerreAVigne,NatureList,ProprieteNonBatie,,Terre à vigne,,,,,
Verger,NatureList,ProprieteNonBatie,,Verger,,,,,
Vigne,NatureList,ProprieteNonBatie,,Vigne,,"V,Vig",,,
Barraque,NatureList,ProprieteBatie,Batiment,Barraque,,,,,
EtablissementDeBains,NatureList,ProprieteBatie,,Etablissement de bains,,,,,
Reservoir,NatureList,ProprieteBatie,,Réservoir,,,,,
ObjetDAgrement,NatureList,,,Objet d'agrément,,,,,
Appenti,NatureList,ProprieteBatie,Batiment,Appenti,,,,,
Magasin,NatureList,ProprieteBatie,Batiement,Magasin,,,,,
