skos:Concept,skos:inScheme,skos:broader,rdfs:label,skos:prefLabel@fr,skos:prefLabel@en,skos:altLabel@fr,skos:altLabel@en,skos:definition
Cadastre,CadastreSourceList,,Cadastre,Cadastre,,Cadastre napoléonien,,Cadastre complet caractérisé par une numérotation donnée
Plan,CadastreSourceList,Cadastre,Plan,Plan,Map,,,Plan faisant partie de la documentation cadastrale
TableauAssemblage,CadastreSourceList,Plan,Tableau d'assemblage,Tableau d'assemblage,Assembly map of the cadastral index maps,,,Plan réalisé à l'échelle d'une commune représentant l'assemblage des plans parcellaires qui détaillent les parcelles de la commune.
PlanParcellaire,CadastreSourceList,Plan,Plan parcellaire,Plan parcellaire,Cadastral index map,,,"Plan représentant les parcellaires d'une portion d'une commune (section entière ou partie d'une section), réalisé à des échelles situées entre 1:1250 et 1:5000."
PlanParcellaireMinute,CadastreSourceList,PlanParcellaire,Plan parcellaire : minute,Plan parcellaire : minute,Cadastral index map : working version,,,"Version de travail du plan parcellaire, peut comprendre des traits de constructions, notes de travail ou une numérotation non définitive des parcelles."
PlanParcellaireFinal,CadastreSourceList,PlanParcellaire,Plan parcellaire final,Plan parcellaire final,Cadastral index map : final version,,,Version finale d'un plan parcellaire
PlanParcellaireIssuDAtlas,CadastreSourceList,PlanParcellaireFinal,Plan parcellaire issu d'atlas,Plan parcellaire issu d'atlas,Cadastral index map : final version extract from atlas,,,Version finale d'un plan parcellaire extraire d'un atlas communal ou cantonal
RegistreCadastral,CadastreSourceList,Cadastre,Registre cadastral,Registre cadastral,Register,,,Registre faisant partie de la documentation cadastrale
MatriceCadastrale,CadastreSourceList,RegistreCadastral,Matrice cadastrale,Matrice cadastrale,Mutation register,,,Registre contenant l'ensemble des mutations affectant les parcelles pendant la période de validité de la matrice
EtatsDeSections,CadastreSourceList,RegistreCadastral,Etats de sections,Etats de sections,Initial register,,,"Registre d'état de sections décrivant le parcellaire d'une commune à une date donnée, proche de la réalisation d'un plan cadastral."
MatriceCadastrale1807_1822_Bati_NonBati,CadastreSourceList,MatriceCadastrale,Matrice de rôles des propriétés bâties et non bâties (1807-1822),Matrice de rôles des propriétés bâties et non bâties (1807-1822),,Matrice des propriétés bâties et non bâties (1807-1822),,"Matrice cadastrale créée entre 1807 et 1822, décrit les propriétés bâties et non bâties d'une commune."
MatriceCadastrale1822_1914_NonBati,CadastreSourceList,MatriceCadastrale,Matrice des propriétés non bâties (1822-1914),Matrice des propriétés non bâties (1822-1914),,Matrice des propriétés foncières (1822-1914),,"Matrice cadastrale créée entre 1822 et 1914, décrit les propriétés bâties et non bâties jusqu'à 1882 puis uniquement les propriétés non bâties jusqu'à 1914."
